incident_id,datetime,longitude,latitude
054219,5/3/2016 06:00 PM,-96.830211,32.718091
054378,18/3/2019 05:25 PM,-96.790046,32.805316
054500,13/2/2019 12:00 AM,-96.773681,32.807844
054660,5/3/2016 09:30 PM,-96.672397,32.757712
055461,15/3/2018 08:00 PM,-96.697366,32.753255
055772,20/3/2019 12:00 PM,-96.777059,32.828197
056079,21/3/2019 04:15 AM,-96.771248,32.755931
056940,13/3/2017 04:35 AM,-96.769696,32.852379
057435,7/3/2016 08:45 PM,-96.882544,32.895229
058181,23/3/2019 09:20 PM,-96.76127,32.763814
058194,23/3/2019 09:00 PM,-96.824371,32.685839
058252,19/3/2018 05:30 PM,-96.79471,32.776279
058312,10/3/2016 09:00 AM,-96.760419,32.799169
059375,25/3/2019 01:40 PM,-96.762984,32.749318
059642,12/3/2016 02:50 AM,-96.826176,32.687818
059649,25/3/2019 08:00 AM,-96.830037,32.699686
059823,26/3/2019 09:20 AM,-96.889748,32.720302
059836,17/3/2017 02:50 AM,-96.83479,32.819928
060022,22/3/2018 01:44 AM,-96.83021,32.720103
060206,26/3/2019 07:22 PM,-96.759382,32.673588
060476,26/3/2019 08:45 PM,-96.828315,32.726561
060525,19/3/2015 12:52 AM,-96.770143,32.845301
062486,25/3/2018 02:13 AM,-96.784135,32.783784
062532,29/3/2019 09:30 PM,-96.821226,32.969031
062995,22/3/2015 02:05 AM,-96.847925,32.739502
063298,31/3/2019 01:53 AM,-96.783391,32.783919
063303,31/3/2019 01:30 AM,-96.702837,32.833178
063779,31/3/2019 08:15 PM,-96.78665,32.705373
064276,22/3/2019 06:00 PM,-96.692084,32.79535
064305,23/3/2015 06:10 PM,-96.837848,32.797268
065029,2/4/2019 05:30 AM,-96.650873,32.854229
065397,18/3/2016 06:00 PM,-96.803852,32.894763
065612,3/4/2019 01:35 PM,-96.762661,32.75208
065859,19/3/2016 08:20 AM,-96.829462,33.006212
067063,31/3/2018 01:30 AM,-96.802128,32.795057
067333,21/3/2016 01:00 AM,-96.86553,32.645984
067365,27/3/2015 04:45 AM,-96.883862,32.861586
067423,5/4/2019 07:19 PM,-96.661822,32.713503
069265,7/4/2019 10:00 PM,-96.73115,32.8069
069764,12/3/2016 12:00 AM,-96.975653,32.660295
070401,9/4/2019 05:55 PM,-96.682766,32.768657
070582,9/4/2019 10:30 PM,-96.779295,32.641924
070644,10/4/2019 12:35 AM,-96.757209,32.741481
